name,ply,rolls,sheets,uses,price,cost/use,url,
"cushelle quilted raspberry & rhubarb",3,6,236,472,6.75,0.014300847457627119,https://www.tesco.com/groceries/en-GB/products/314109945,
"cushelle quilted sunshine daisy",3,6,236,472,4.95,0.010487288135593222,https://www.tesco.com/groceries/en-GB/products/316064509,
"cushelle quilted tubeless",3,6,252,504,5.85,0.011607142857142856,https://groceries.morrisons.com/products/cushelle-quilted-tubeless-toilet-tissue-6-rolls-equals-9-rolls-578098011,
"cushelle quilted tubeless",3,6,252,504,7.5,0.01488095238095238,https://www.tesco.com/groceries/en-GB/products/311961072,
"cushelle ultra quilted",3,9,157,471,4,0.008492569002123142,https://groceries.asda.com/product/1000103442777,
"cushelle ultra quilted",3,16,157,837.3333333333334,7.75,0.009255573248407643,https://groceries.asda.com/product/1000103442628,
"cushelle ultra quilted",3,90,157,4710,48,0.01019108280254777,https://www.amazon.co.uk/dp/B083Y2D3FG,
"cushelle ultra quilted",3,4,157,209.33333333333334,2.25,0.010748407643312101,https://groceries.asda.com/product/1000103442607,
"cushelle ultra quilted",3,9,157,471,14.62,0.031040339702760083,https://www.amazon.co.uk/dp/B07FTTPKPF,
"cushelle ultra quilted coconut",3,16,157,837.3333333333334,6.5,0.007762738853503185,https://groceries.asda.com/product/1000201883638,
"cushelle ultra quilted coconut",3,9,157,471,4.75,0.010084925690021231,https://groceries.asda.com/product/1000201883593,
"elegance feathersoft",3,24,160,1280,6,0.0046875,https://www.tesco.com/groceries/en-GB/products/315363543,
"ever so ewesful",3,1,300,100,7.99,0.0799,https://www.amazon.co.uk/dp/B09FTFXDKC,
"freedom inspirations lemon",3,45,160,2400,15.99,0.0066625,https://www.amazon.co.uk/dp/B08FZJRTBT,
"getdigital unicorn",3,1,200,66.66666666666667,9.5,0.1425,https://www.amazon.co.uk/dp/B074TGSJH3,
"happy birthday",3,1,170,56.666666666666664,8.99,0.15864705882352942,https://www.amazon.co.uk/dp/B09H3GYSZ9,
"Jaroslaw Kaczynski",3,1,300,100,5.39,0.053899999999999997,https://www.amazon.co.uk/dp/B09CH7BHLK,
karina,3,10,140,466.6666666666667,5.65,0.012107142857142858,https://www.ebay.co.uk/itm/264959931435,
karina,3,10,140,466.6666666666667,5.95,0.01275,https://www.ebay.co.uk/itm/353301151229,https://www.ebay.co.uk/itm/154221841562
kasstino,3,1,150,50,4.98,0.09960000000000001,https://www.amazon.co.uk/dp/B01FO4S2QA,
kingwo_decor,3,1,170,56.666666666666664,4.88,0.08611764705882353,https://www.amazon.co.uk/dp/B08JM8RZMW,
kirkland,3,4,240,320,4.27,0.013343749999999998,https://www.ebay.co.uk/itm/144077861070,
"kirkland signature",3,4,240,320,3.2,0.01,https://www.amazon.co.uk/dp/B074SZSG9T,
"kleenex 8459",4,24,195,2340,53.99,0.023072649572649574,https://www.amazon.co.uk/dp/B0BKQXYW11,
"kleenex 8484",4,24,160,1920,34.19,0.017807291666666666,https://www.amazon.co.uk/dp/B00QX8YKCC,
"kleenex extra comfort premium",4,4,160,320,11.08,0.034625,https://www.amazon.co.uk/dp/B00PAQW8CC,
"little duck dream quilted",3,60,145,2900,23.98,0.00826896551724138,https://www.amazon.co.uk/dp/B0BFFD76DX,
"little duck supreme quilted",3,24,160,1280,4.99,0.0038984375,https://www.tesco.com/groceries/en-GB/products/309787350,
lusheen,3,60,155,3100,24.99,0.008061290322580645,https://www.amazon.co.uk/dp/B0B3L3FBPM,
"morrisons aloe vera",3,4,160,213.33333333333334,1.9,0.00890625,https://www.amazon.co.uk/dp/B01MTNO2IJ,
