name,ply,rolls,sheets,uses,multiQuan,multiDisc,cost,delivery,useCost,useCostDisc,url
covid kiss my arse,3,1,170,56,1,1,5.99,0,0.10696428571428572,0.10696428571428572,https://www.amazon.co.uk/dp/B09C4QB51Q
cusheen lavendar,3,12,155,620,1,1,6.75,0,0.010887096774193548,0.010887096774193548,https://www.amazon.co.uk/dp/B095SWCGRF
cushelle quilted,3,9,157,471,1,1,5.85,0,0.012420382165605095,0.012420382165605095,https://groceries.morrisons.com/products/cushelle-quilted-9-white-rolls-399064011
cushelle quilted,3,24,157,1256,1,1,15.5,0,0.012340764331210192,0.012340764331210192,https://www.tesco.com/groceries/en-GB/products/304782328
cushelle quilted,3,16,157,837,1,1,12.5,0,0.014934289127837515,0.014934289127837515,https://groceries.morrisons.com/products/cushelle-quilted-white-rolls-399065011
cushelle quilted,3,4,157,209,1,1,3.65,0,0.017464114832535883,0.017464114832535883,https://groceries.morrisons.com/products/cushelle-quilted-4-white-rolls-399063011
cushelle quilted longer lasting,3,12,236,944,1,1,9.8,2.99,0.013548728813559324,0.013548728813559324,https://www.tesco.com/groceries/en-GB/products/313733731
cushelle quilted raspberry & rhubarb,3,6,236,472,1,1,6.75,0,0.014300847457627119,0.014300847457627119,https://www.tesco.com/groceries/en-GB/products/314109945
cushelle quilted sunshine daisy,3,6,236,472,1,1,4.95,2.99,0.016822033898305087,0.016822033898305087,https://www.tesco.com/groceries/en-GB/products/316064509
cushelle quilted tubeless,3,6,252,504,1,1,5.85,0,0.011607142857142856,0.011607142857142856,https://groceries.morrisons.com/products/cushelle-quilted-tubeless-toilet-tissue-6-rolls-equals-9-rolls-578098011
cushelle quilted tubeless,3,6,252,504,1,1,7.5,0,0.01488095238095238,0.01488095238095238,https://www.tesco.com/groceries/en-GB/products/311961072
cushelle ultra quilted,3,9,157,471,1,1,4,0,0.008492569002123142,0.008492569002123142,https://groceries.asda.com/product/1000103442777
cushelle ultra quilted,3,16,157,837,1,1,7.75,0,0.009259259259259259,0.009259259259259259,https://groceries.asda.com/product/1000103442628
cushelle ultra quilted,3,90,157,4710,1,1,48,0,0.01019108280254777,0.01019108280254777,https://www.amazon.co.uk/dp/B083Y2D3FG
cushelle ultra quilted,3,4,157,209,1,1,2.25,0,0.01076555023923445,0.01076555023923445,https://groceries.asda.com/product/1000103442607
cushelle ultra quilted,3,9,157,471,1,1,14.62,0,0.031040339702760083,0.031040339702760083,https://www.amazon.co.uk/dp/B07FTTPKPF
cushelle ultra quilted coconut,3,16,157,837,1,1,6.5,0,0.007765830346475508,0.007765830346475508,https://groceries.asda.com/product/1000201883638
cushelle ultra quilted coconut,3,9,157,471,1,1,4.75,0,0.010084925690021231,0.010084925690021231,https://groceries.asda.com/product/1000201883593
elegance feathersoft,3,24,160,1280,1,1,7,4,0.00859375,0.00859375,https://www.tesco.com/groceries/en-GB/products/315363543
ever so ewesful,3,1,300,100,1,1,7.99,0,0.0799,0.0799,https://www.amazon.co.uk/dp/B09FTFXDKC
freedom inspirations lemon,3,45,160,2400,1,1,15.99,0,0.0066625,0.0066625,https://www.amazon.co.uk/dp/B08FZJRTBT
getdigital unicorn,3,1,200,66,1,1,9.5,0,0.14393939393939395,0.14393939393939395,https://www.amazon.co.uk/dp/B074TGSJH3
happy birthday,3,1,170,56,1,1,8.99,0,0.16053571428571428,0.16053571428571428,https://www.amazon.co.uk/dp/B09H3GYSZ9
Jaroslaw Kaczynski,3,1,300,100,1,1,5.39,0,0.053899999999999997,0.053899999999999997,https://www.amazon.co.uk/dp/B09CH7BHLK
karina,3,10,140,466,1,1,5.65,0,0.012124463519313306,0.012124463519313306,https://www.ebay.co.uk/itm/264959931435
karina,3,10,140,466,1,1,5.95,0,0.01276824034334764,0.01276824034334764,https://www.ebay.co.uk/itm/353301151229
kasstino,3,1,150,50,1,1,4.98,0,0.09960000000000001,0.09960000000000001,https://www.amazon.co.uk/dp/B01FO4S2QA
kingwo_decor,3,1,170,56,1,1,4.88,0,0.08714285714285715,0.08714285714285715,https://www.amazon.co.uk/dp/B08JM8RZMW
kirkland signature,3,4,240,320,1,1,3.2,0,0.01,0.01,https://www.amazon.co.uk/dp/B074SZSG9T
kleenex 8459,4,24,195,2340,1,1,53.99,0,0.023072649572649574,0.023072649572649574,https://www.amazon.co.uk/dp/B0BKQXYW11
kleenex 8484,4,24,160,1920,1,1,34.19,0,0.017807291666666666,0.017807291666666666,https://www.amazon.co.uk/dp/B00QX8YKCC
kleenex extra comfort premium,4,4,160,320,1,1,11.08,0,0.034625,0.034625,https://www.amazon.co.uk/dp/B00PAQW8CC
little duck dream quilted,3,60,145,2900,1,1,23.98,0,0.00826896551724138,0.00826896551724138,https://www.amazon.co.uk/dp/B0BFFD76DX
little duck supreme quilted,3,24,160,1280,1,1,5.5,4,0.007421875,0.007421875,https://www.tesco.com/groceries/en-GB/products/309787350
lusheen,3,60,155,3100,1,1,24.99,0,0.008061290322580645,0.008061290322580645,https://www.amazon.co.uk/dp/B0B3L3FBPM
morrisons aloe vera,3,4,160,213,1,1,1.9,0,0.00892018779342723,0.00892018779342723,https://www.amazon.co.uk/dp/B01MTNO2IJ
morrisons coconut oil,3,4,160,213,1,1,1.9,0,0.00892018779342723,0.00892018779342723,https://www.amazon.co.uk/dp/B08533ZSFG
morrisons quilted,3,9,160,480,1,1,3.94,0,0.008208333333333333,0.008208333333333333,https://www.amazon.co.uk/dp/B01LQ6DV7K
mother earth,3,12,300,1200,1,1,17.99,0,0.014991666666666665,0.014991666666666665,https://www.amazon.co.uk/dp/B08D3JNDTL
nicky elite,3,24,168,1344,1,1,8.99,0,0.006688988095238095,0.006688988095238095,https://www.amazon.co.uk/dp/B0BMW341NW
nicky fashion,4,36,165,2970,1,1,31.36,0,0.01055892255892256,0.01055892255892256,https://www.amazon.co.uk/dp/B07774XR8P
nicky supreme,3,20,160,1066,1,1,10,0,0.009380863039399626,0.009380863039399626,https://www.amazon.co.uk/dp/B0BXF7713C
oceans,3,45,180,2700,1,1,24.99,0,0.009255555555555555,0.009255555555555555,https://www.amazon.co.uk/dp/B09KVMV168
oh so soft aloe vera,3,9,160,480,1,1,4.25,0,0.008854166666666666,0.008854166666666666,https://groceries.morrisons.com/products/morrisons-aloe-vera-toilet-tissue-303260011
oh so soft aloe vera,3,4,160,213,1,1,2.6,0,0.012206572769953052,0.012206572769953052,https://groceries.morrisons.com/products/morrisons-aloe-vera-toilet-tissue-303259011
oh so soft coconut oil,3,9,160,480,1,1,4.25,0,0.008854166666666666,0.008854166666666666,https://groceries.morrisons.com/products/morrisons-coconut-toilet-tissue-489921011
oh so soft coconut oil,3,4,160,213,1,1,2.6,0,0.012206572769953052,0.012206572769953052,https://groceries.morrisons.com/products/morrisons-fresh-tropical-with-coconut-oil-toilet-tissue-489920011
oh so soft quilted,3,16,160,853,1,1,6.85,0,0.008030480656506448,0.008030480656506448,https://groceries.morrisons.com/products/morrisons-quilted-toilet-rolls-565847011
oh so soft quilted,3,9,160,480,1,1,4.25,0,0.008854166666666666,0.008854166666666666,https://groceries.morrisons.com/products/morrisons-quilted-comfort-toilet-tissue-303262011
oh so soft quilted,3,4,160,213,1,1,2.6,0,0.012206572769953052,0.012206572769953052,https://groceries.morrisons.com/products/morrisons-quilted-comfort-toilet-tissue-4-303263011
oh so soft shea butter,3,9,160,480,1,1,4.25,0,0.008854166666666666,0.008854166666666666,https://groceries.morrisons.com/products/morrisons-shea-butter-toilet-tissue-303258011
oh so soft shea butter,3,4,160,213,1,1,2.6,0,0.012206572769953052,0.012206572769953052,https://groceries.morrisons.com/products/morrisons-shea-butter-toilet-tissue-4-roll-303261011
presto! Eco,3,45,200,3000,1,1,29.93,0,0.009976666666666667,0.009976666666666667,https://www.amazon.co.uk/dp/B08JDBBL9T
presto! Eco,3,45,200,3000,1,1,29.93,0,0.009976666666666667,0.009976666666666667,https://www.amazon.co.uk/dp/B08JDBBL9T
presto! Quilted,3,18,200,1200,1,1,11.15,0,0.009291666666666667,0.009291666666666667,https://www.amazon.co.uk/dp/B08VFXYYSR
presto! Quilted gem pattern,3,45,200,3000,1,1,27.15,0,0.009049999999999999,0.009049999999999999,https://www.amazon.co.uk/dp/B07PWG318D
amazon Quilted pattern b,4,48,160,3840,4,0.85,18.99,0,0.004945312499999999,0.004203515624999999,https://www.amazon.co.uk/dp/B07NMDMBR4
qpout 60,3,1,160,53,1,1,7.69,0,0.1450943396226415,0.1450943396226415,https://www.amazon.co.uk/dp/B0C65PB6QN
quilted,3,4,135,180,1,1,7.39,0,0.041055555555555553,0.041055555555555553,https://www.amazon.co.uk/dp/B09SZSJYS7
regina chamomile,3,4,152,202,1,1,3.5,0,0.017326732673267328,0.017326732673267328,https://www.sainsburys.co.uk/gol-ui/product/regina-chamomile-toilet-tissue-4x160-sheets
regina seriously soft,3,20,175,1166,1,1,13.33,0,0.011432246998284734,0.011432246998284734,https://www.amazon.co.uk/dp/B07T3SBLHQ
renova 100% recycled,3,9,180,540,1,1,7.91,0,0.014648148148148148,0.014648148148148148,https://www.amazon.co.uk/dp/B08BJQD4RN
renova black,3,6,140,280,1,1,6.63,0,0.023678571428571427,0.023678571428571427,https://www.amazon.co.uk/dp/B08GGQDJF8
renova black,3,6,140,280,1,1,7.59,0,0.027107142857142857,0.027107142857142857,https://www.amazon.co.uk/dp/B00XVKW12G
renova christmas,3,72,110,2640,1,1,34.99,0,0.013253787878787879,0.013253787878787879,https://www.amazon.co.uk/dp/B07BYD8HXJ
renova grand royal,3,18,140,840,1,1,14.79,0,0.017607142857142856,0.017607142857142856,https://www.amazon.co.uk/dp/B08BJN2443
renova magic,4,9,190,855,1,1,9.56,0,0.011181286549707603,0.011181286549707603,https://www.amazon.co.uk/dp/B0777YKRBH
renova orange,3,6,140,280,1,1,14.58,0,0.052071428571428574,0.052071428571428574,https://www.amazon.co.uk/dp/B00XVKW0OA
renova red,3,20,180,1200,1,1,31.62,0,0.026350000000000002,0.026350000000000002,https://www.amazon.co.uk/dp/B07BG9VYCP
renova ultra fort,3,4,170,226,1,1,6.69,0,0.029601769911504427,0.029601769911504427,https://www.amazon.co.uk/dp/B07TVJYS9M
renova yellow,3,2,140,93,1,1,7.08,0,0.07612903225806451,0.07612903225806451,https://www.amazon.co.uk/dp/B0841PH3ZW
so soft,3,40,166,2213,1,1,24.23,0,0.010948938093086308,0.010948938093086308,https://www.ebay.co.uk/itm/255138990340
spritumn,3,4,170,226,1,1,24.3776,0,0.10786548672566372,0.10786548672566372,https://www.amazon.co.uk/dp/B07Y1TNK5V
stamford street superior,3,9,320,960,1,1,5.25,4,0.009635416666666667,0.009635416666666667,https://www.sainsburys.co.uk/gol-ui/product/new-355373-44/house-247-superior-toilet-tissue-double-rolls-3-ply-x9
tesco luxury soft coconut oil,3,6,240,480,1,1,3.65,4,0.0159375,0.0159375,https://www.tesco.com/groceries/en-GB/products/312107150
tesco luxury soft coconut oil,3,4,160,213,1,1,1.8,2.99,0.022488262910798123,0.022488262910798123,https://www.tesco.com/groceries/en-GB/products/297445007
tesco luxury soft quilted,3,12,240,960,1,1,6,4,0.010416666666666666,0.010416666666666666,https://www.tesco.com/groceries/en-GB/products/315737516
